Car,car_number,lap,Lap,IM1a,IM1,IM2a,IM2,IM3a,FL
001,001,1,1,12.790185145588929,15.541176040674356,13.962580728432368,16.379504116972267,14.72726385906515,12.947795915987074
001,001,2,2,13.088597675841152,15.720248432733843,13.903199002371906,16.72339615920548,14.800428671950543,13.0740088628466
001,001,3,3,12.978981685099912,15.636635848295468,13.945292012004826,16.43616035745209,14.560560597885988,13.005713625424777
001,001,4,4,13.339515170519617,16.148359245440435,14.554551241166443,17.069820431010303,15.35940412052447,13.365355712649968
001,001,5,5,14.134135307269005,16.60652780056638,14.752767999993036,17.49354231359941,15.75253878491614,14.003536087315881
001,001,6,6,13.75845279812864,16.678891296944077,14.817957495814618,17.485982274301378,15.747501955373428,13.57245398253592
001,001,7,7,14.078131570297563,16.720908126202456,14.969898122126907,17.762715396358473,15.902402558757986,14.12827767235207
001,001,8,8,14.291887713461165,17.117994692966445,15.229858296555651,18.072001812979074,16.505592920236417,14.578563522950402
001,001,9,9,14.727973320985361,17.503324241171743,15.58357998992599,18.5366743204496,16.57558772559811,14.510065389244671
001,001,10,10,14.941109866991155,18.143194632532555,16.13359775534996,18.912921990328275,17.09585811900417,14.904294784633176
001,001,11,11,15.046380159200924,18.078202862068355,16.161563294328,19.190757801679208,17.185737413073635,15.105051254715447
001,001,12,12,15.715388072054969,18.607022262063285,16.776623176805817,19.734140896711057,17.555125194849563,15.513031599817241
001,001,13,13,15.722260002638563,18.851179986434317,16.398320468407462,19.729776547988966,17.410224542990388,15.5272996730613
001,001,14,14,15.821587541511683,19.133971529160544,16.954313178008043,20.187525312893683,18.072577422637593,15.945155853448158
001,001,15,15,16.205559018641424,19.902162435369235,17.467373521007694,20.463665531358142,18.434281927352533,16.276584568524598
001,001,16,16,16.565369254807877,19.814896008862576,17.59082000382552,21.057825963300814,18.842173991861372,16.591164249430054
001,001,17,17,16.765286711067326,20.19044978206178,17.688495838616937,21.358705430434206,18.981926696575677,16.89277083369608
001,001,18,18,16.906191868793123,20.037251781634147,17.93359479313831,21.35993500593014,18.89711694491289,16.756914161647657
001,001,19,19,17.497591971956055,21.06340936480268,18.759690165932838,22.184388690243942,19.702867295119628,17.503737809415412
001,001,20,20,17.49497542713294,20.970723530913563,18.56104553832418,22.061637673695785,19.83303828956955,17.545507805906727
001,001,21,21,17.965801507338604,21.445034612535917,18.921843147104145,22.724847734397613,20.417032295623102,17.90826429758903
001,001,22,22,17.86674847238476,21.711293935604875,18.9788841344358,22.885139712809213,20.428002689649514,17.94897411947206
001,001,23,23,17.989895655864387,21.444854723929378,19.415321780406373,22.75259596498841,20.259475917290704,18.015282562495127
001,001,24,24,18.772484471146395,22.585638937694224,19.967192718770193,23.992433113448314,21.308912049355555,18.863497927065772
001,001,25,25,18.542134877590783,22.212269931002357,19.729788447005046,23.292860518722836,21.11387790412082,18.577348250106787
002,002,1,1,12.625298336585109,15.074531084545072,13.379863326926582,16.072783984485188,14.23134448438649,12.652515910914902
002,002,2,2,12.768381166291336,15.407368506325117,13.335285416437689,16.184518047767998,14.222040202181377,12.958860701738063
002,002,3,3,13.306774965954348,15.978292773474113,14.276327245432457,17.043661266160523,15.268192506198876,13.435764152220838
002,002,4,4,13.50523028894055,15.923236849920052,14.261126356484139,16.850681607788037,15.22962560251771,13.477296123125504
002,002,5,5,13.758370951656781,16.59385528447037,14.651081287707088,17.283762860745693,15.450051400118136,13.405943821152746
002,002,6,6,13.80394011290896,16.699125393056935,14.875139392136337,17.488976615287395,15.916757361424207,13.818019444335743
002,002,7,7,13.978058550367084,16.850065018048536,15.128112294426545,17.569713796352193,15.828367453995838,14.132021203197171
002,002,8,8,14.717926636631171,17.795653276518426,15.736236259920283,18.663518249511704,16.618007384770767,14.788449178447761
