Car,car_number,lap,Lap,IM1a,IM1,IM2a,IM2,IM3a,FL
001,001,1,1,18.488239348574044,22.142749804485565,19.6336952003444,23.243930728649747,20.94070346082184,18.441884164878925
001,001,2,2,19.198057069396604,23.22610500967693,20.550477612347912,24.421150193332483,21.882113710949877,19.26844300849014
001,001,3,3,19.26822781510632,23.07946510623915,20.65047560949407,24.257103342241408,21.793222525684246,19.123251873582387
001,001,4,4,19.92278954754901,23.981987174463843,21.304019126534435,25.35188709811758,22.726078587415774,20.078502239372195
001,001,5,5,20.547378062938186,24.66071508523208,21.925422946715337,26.15110360458406,23.25731495209638,20.656700354767207
001,001,6,6,20.97182839094317,24.97923100628919,22.083605698046405,26.346735843045238,23.385218567215773,20.78691909777531
001,001,7,7,20.638778447575483,24.816444698825517,22.03603699202531,26.215350277829426,23.299868465393743,20.50702668960038
001,001,8,8,21.172166115797108,25.449034287733866,22.37762437894385,26.44077688889451,23.83050098554614,21.03380190925507
001,001,9,9,21.332567797897042,25.637431051994888,22.860450897450473,26.862112998537953,24.339855529078047,21.305720729762733
001,001,10,10,21.923651733040646,26.36281266227879,23.484590156062808,27.751839943110312,24.896068528757745,21.887928065486555
001,001,11,11,22.466240634347848,27.27639792556284,24.15052945357606,28.88615272887906,25.69191057653518,22.68917672977598
001,001,12,12,22.434909021440617,27.005850324220845,23.820057564115075,28.37963719739722,25.482089470747436,22.455367490110437
001,001,13,13,23.731730368902898,28.47379464304248,25.254643805932577,30.196203826758914,26.770378359938714,23.48802206500077
001,001,14,14,23.50181661356298,28.29437455017984,24.938026213982116,29.909543712429635,26.692361567284003,23.576456729485187
001,001,15,15,23.511204855182058,28.367823260056483,25.230158040994063,29.915472664614114,26.719202536071286,23.659872809745313
001,001,16,16,24.894393658606546,29.7752993828406,26.62535540085542,31.454953513361374,28.03671095188611,24.720087780868774
001,001,17,17,24.943005511731812,30.02989242790045,26.481212856348822,31.701724685102093,28.14341160525099,24.85863059959168
001,001,18,18,25.468284707378636,30.47427012340865,27.152563342201177,32.0909970229776,28.79578340399168,25.28075951854241
001,001,19,19,25.391161311289302,30.446669364205125,27.15417116644861,32.11653822735203,28.778742001657726,25.49792205371607
001,001,20,20,25.891055009089573,31.020318712833504,27.55332007973071,32.72606352227238,29.317358994956454,25.84147248082583
001,001,21,21,26.311346346515922,31.30767586004817,27.927654315367732,33.50850823662401,29.725304425244534,26.3094092093911
001,001,22,22,26.368339559184477,31.763581459718683,28.170707250991295,33.47832011140242,30.033440014858485,26.362555917798574
001,001,23,23,27.38245111215184,32.859265792672375,28.994429216630518,34.56264228176593,30.86309133368989,27.137425155633203
001,001,24,24,27.576196383007332,33.07771040599261,29.236746683654076,34.940199295626854,31.512983085470854,27.417614957155962
001,001,25,25,27.49345373121178,32.81693428003723,29.391338167381168,34.81821351295092,31.019594654296167,27.274800082605203
002,002,1,1,18.575816708825343,22.266176282947477,19.950893728887017,23.5620399763841,21.225350239746895,18.472968987022764
002,002,2,2,19.049478439078513,22.81347868659685,20.352134600497376,24.1045061539145,21.610199032324353,19.09452737431381
002,002,3,3,19.555584253759623,23.436979239191476,20.852610290079863,24.8194533410457,22.148769710319804,19.67564572608626
002,002,4,4,19.689926157244592,23.849300226508177,20.975044336976215,25.248273409242838,22.492954017404355,19.792799260758702
002,002,5,5,20.724165374339872,24.54758332689592,21.7786271106154,25.95969098373149,23.341281840422255,20.398007819612832
002,002,6,6,20.436705098870803,24.628825706447856,21.82718539049563,25.978885180984463,23.239307816729216,20.55706939326674
002,002,7,7,20.82776402021817,25.061959313268176,22.368196359807595,26.50447072058325,23.57555261645469,20.884794075960322
002,002,8,8,21.693067020207565,25.91990583481845,23.139735930101605,27.45596745009186,24.558268853515834,21.816783286599335
002,002,9,9,21.94688118758844,26.431165003284978,23.578748081419445,27.72939766454019,24.873919914255808,21.91993122406886
002,002,10,10,21.96925899980059,26.315636287927482,23.367537815687395,27.92369879479347,24.872573509399448,22.09124690446789
002,002,11,11,22.836050275592488,27.416731548710068,24.381029695833952,28.94572901367837,25.851298096142656,22.586232250672214
002,002,12,12,22.63458414224929,27.1429219711358,24.08046637106531,28.609992441758628,25.74314908977027,22.59989377387161
002,002,13,13,23.241619608888588,27.921756209488017,25.069292485587052,29.477776591385368,26.304397751633893,23.583286185063844
002,002,14,14,23.776081469316804,28.558939752169998,25.55096417792683,30.275208708006364,27.10680231140417,23.837509827392758
002,002,15,15,24.19508034547196,29.05646604078833,25.961852445506178,30.85581713557416,27.436741156198085,24.269469737985677
002,002,16,16,24.984368542880837,29.553229846462525,26.419631598279885,31.52233847557712,27.890419352053826,24.945162604389665
002,002,17,17,24.300588884867537,29.314874909430632,26.015446936401826,31.109939905364698,27.849067596216504,24.38626524007461
002,002,18,18,25.687658784088235,30.8263824309845,27.270090254199953,32.54177011620707,28.902913085580042,25.637008369739068
002,002,19,19,25.237892188719698,30.518607715112903,26.94227934507438,31.884639088010587,28.631633777629634,25.187777004488648
002,002,20,20,26.266735545832514,31.590018146977165,28.314214336144847,33.29574341868585,29.91690535338925,26.345540014092467
002,002,21,21,26.36023977044056,31.747665585960178,28.067133112428852,33.483809494642294,29.751449369120255,26.484331825070306
002,002,22,22,26.36484095341809,31.652316271525624,28.194213686948856,33.340560714738814,29.931967328324284,26.34144537666182
002,002,23,23,26.929735747842706,32.125467987353574,29.009521033659716,34.094318917221806,30.577446076990288,26.787245315267764
