Car,car_number,lap,Lap,IM1a,IM1,IM2a,IM2,IM3a,FL
001,001,1,1,21.134207241758947,25.2570050185634,22.599788427402643,26.602916820975466,24.008334778423723,21.076318603390853
001,001,2,2,21.139093714327316,25.393763358779463,22.452027417011234,26.733577840516215,23.974585675521915,21.17934127071591
001,001,3,3,21.932674594797604,26.455474017464937,23.41135835147298,28.06791675927115,24.989359923421375,22.064035335294392
001,001,4,4,22.57968658133831,27.175491127811515,24.0564358686855,28.66626875137346,25.580490775303726,22.700298262299384
001,001,5,5,22.712297982582516,27.256959689683125,24.058420202425154,28.846008970765748,25.79147175645984,22.765829142531928
001,001,6,6,23.218361523670143,27.660517428542267,24.52939842952285,29.227163352332997,26.08473978288084,23.164723896846628
001,001,7,7,23.423293250743107,28.16986139904327,25.154374833669475,29.810304700438607,26.72705462551089,23.418665540142733
001,001,8,8,23.50906761286922,28.157959064534452,25.298213100365196,29.76213822224968,26.5467516585288,23.390705286197456
001,001,9,9,24.729667808525612,29.527738525362004,26.474143609429323,31.284246127342612,27.847100432788817,24.252203469938856
001,001,10,10,24.612633220869334,29.633706853222584,26.189452921849032,31.313480158959752,27.94200529379069,24.64282755758231
001,001,11,11,25.104867419732834,30.42582501076959,27.24505496795368,32.0417471445528,28.465086057781296,25.285896241008626
001,001,12,12,25.596429465093955,30.83349463875472,27.237943559763572,32.272752472443166,29.017435951364906,25.707846902567802
001,001,13,13,26.448383768775248,31.941486656890252,28.320315201701195,33.569759769545264,29.995644487742915,26.58557951404816
001,001,14,14,27.008155143364544,32.21369256456011,28.617434001729,33.90289671700779,30.457246148734733,26.768726586981394
001,001,15,15,26.514047970784546,31.710577631252036,28.228188820807905,33.23737688921863,29.74902001702879,26.47659584960598
001,001,16,16,26.905483264334563,32.30293313574972,28.70245604253624,33.98127413123512,30.449087597567164,26.879702714679173
001,001,17,17,28.023532768063696,33.681199632671266,29.908373856113748,35.59081341932231,31.969774827841693,28.085242469283532
001,001,18,18,28.45719706296635,34.12305406103668,30.24123747905452,36.12881594098899,32.08785846656463,28.398385587608594
001,001,19,19,28.56198776016027,34.53640232741908,30.541868511794615,36.51699006149621,32.53695785855797,28.71532047106753
001,001,20,20,29.14366431395943,34.846329111660545,31.1125723062238,36.7496638891776,32.94116088671462,29.195658691726926
001,001,21,21,29.719210734554785,35.47544534119751,31.62659513478292,37.71405063707556,33.83173551004543,29.701084806382113
001,001,22,22,29.813955239525832,35.79949498515948,31.634612859351513,37.64981310210929,33.76597858914773,29.70780350451253
