Car,car_number,lap,Lap,IM1a,IM1,IM2a,IM2,IM3a,FL
001,001,1,1,15.840091260735763,19.108815563247674,16.894204685637558,19.90132004412106,18.081705257794752,15.745048030440232
001,001,2,2,15.799531946350642,19.001972575619906,16.933110635496146,20.10765492565824,17.94400310441462,15.770749046314446
001,001,3,3,16.64681980379312,19.83438358569678,17.637204516554092,21.134544341723135,18.790636752081017,16.453411427443143
001,001,4,4,16.614288712325024,19.90666916361018,17.740973645032764,21.102066335246956,18.80135680766259,16.57580612026051
001,001,5,5,16.742581248165035,20.21913456718876,18.026358096833835,21.336912085985105,19.05644064163335,16.799721560013207
001,001,6,6,17.122205294934002,20.84118948675796,18.449965820363612,22.045851486694147,19.657567925911202,17.158184377720776
001,001,7,7,17.474894445028188,21.124301976701553,18.841556672685613,22.244459034883146,19.894352077833563,17.543542170516577
001,001,8,8,18.330873172383182,22.050288480102957,19.338248006505967,23.15493309535597,20.686736656167504,18.23194591540587
001,001,9,9,18.11288304435118,21.63656078454374,19.458208128572707,23.00241143547019,20.51304601722751,18.137990991427532
001,001,10,10,19.08308827479121,22.697696783682176,20.462357688964357,24.077922840857283,21.283750330920228,18.938517803832962
001,001,11,11,18.380227988346995,22.361493874085667,19.85379907724554,23.52380218922255,21.104062861704218,18.556406455358047
001,001,12,12,18.9307861937098,22.742106788182834,20.135193708079463,23.858409792078056,21.43661337099066,18.981164416412533
001,001,13,13,19.195473176946606,23.24351081529742,20.53382856953714,24.519012163753825,21.829077724477234,19.255216170519322
001,001,14,14,19.908112303858807,23.624885948527087,20.982839308977425,25.18286678832636,22.265055220668064,19.66006075667383
001,001,15,15,19.58814740071573,23.641967748030854,20.996910171716692,25.033571819662274,22.470550964249924,19.79529021380363
001,001,16,16,20.838415447514915,25.168082462706952,22.32531860276269,26.370805545190283,23.72485350647555,20.83484559120821
001,001,17,17,21.13962520680502,25.13560652990081,22.179635425934,26.387842999467825,23.90598919969439,20.92969313769706
001,001,18,18,21.252794131997046,25.166095224791245,22.694819216278603,26.695300302004753,23.910178725019072,21.17383116022808
001,001,19,19,21.038073177513418,25.562149209329032,22.50728973224983,26.62488626359759,23.784237808105566,21.093703417393716
001,001,20,20,21.80928434611033,26.29151305619701,23.469002757629305,27.720524937340407,24.981252705153917,21.986473127439083
001,001,21,21,22.243194298877146,26.402089462278234,23.51000733264754,28.00266453449512,25.0040762081879,22.15849327262794
001,001,22,22,22.27384553651773,26.899974688842317,23.89379045580661,28.426577302967953,25.39418735242441,22.374066370453164
001,001,23,23,22.45119933078408,26.966105058942322,24.119603748912425,28.33619092427242,25.56569363792708,22.331820221401625
001,001,24,24,22.88886426236982,27.529791689742744,24.486465047730956,29.04787205762839,26.014201928301443,22.888646209699726
001,001,25,25,23.0622082844108,27.676613651319265,24.554447434349065,29.55410773112183,26.255239377364973,23.05933934537467
002,002,1,1,16.24824058068172,19.251787363205466,16.98164048289137,20.367643869251765,18.066441878969773,15.989846180694808
002,002,2,2,15.992314658144842,19.34007427633856,16.934865604127616,20.080523557904666,18.062053950165257,15.953823197586837
002,002,3,3,16.146665797336123,19.281060208338797,17.302930900965436,20.64071094816036,18.24956767810083,16.063137568123793
002,002,4,4,16.642916485455554,19.950061868265657,17.682977499443112,21.204832483591687,18.988200150717294,16.79983773526523
002,002,5,5,16.772424104922077,20.418301136883578,17.950813466416534,21.348907045925085,19.17164767094659,16.91316132310894
002,002,6,6,17.641368554990294,21.304361585357654,18.796841096252138,22.24052390417246,19.877713228980067,17.59169406753994
002,002,7,7,17.904264734133736,21.548146593352566,19.10241064431289,22.645382907930514,20.306349513371348,17.873896053551615
002,002,8,8,18.03139354720171,21.69329495837742,19.358444061109246,22.874138103986713,20.60610742387991,18.174633795927615
002,002,9,9,18.197421053508595,21.849430063404995,19.292892841682292,23.21415327873584,20.533049282111183,18.26369539805401
002,002,10,10,18.805831936199482,22.551213481365256,19.972032081291868,23.785375941329775,21.396605590065015,18.936388514790178
002,002,11,11,18.85751920894379,22.677875601118345,20.198129377765643,24.045847196037418,21.456720068519413,19.001612413759027
002,002,12,12,18.902824348008437,22.761991384872122,20.427892264866905,24.144763277831462,21.59488866793427,19.014767249239092
002,002,13,13,19.579199837737313,23.476438739361186,20.761408876646726,24.82135568108867,22.21178812326095,19.524101913122486
002,002,14,14,19.622949844310554,23.415013993210223,20.89344941958858,24.82143461456328,22.29950696401529,19.665922222050114
002,002,15,15,20.227063201614346,24.500308236410902,21.777544127810295,25.814640894155374,23.00092481573142,20.243124500272287
002,002,16,16,20.56934853218677,24.644453618315723,21.84638954201786,25.99797655772432,23.30880255177467,20.57407610717459
002,002,17,17,21.005853700843964,25.028068594767817,22.279324655609255,26.50038570305119,23.79972329452869,20.99511502139208
002,002,18,18,20.967650995011294,25.04380774644665,22.359303667682717,26.620316625233382,23.662174561295835,20.88769358775712
002,002,19,19,21.149819378309367,25.539784760825466,22.704094955505347,27.089993782615714,24.03994223772229,21.227782243736794
002,002,20,20,21.510832789617343,25.407198773397447,22.762841140102662,26.915014662853388,24.152944415383296,21.23958483993981
002,002,21,21,22.24215225575394,26.789924548563356,23.87263308285168,28.528924008767586,25.49042970943179,22.456371266645217
002,002,22,22,22.144822246530715,26.45314081883374,23.62593015034784,27.62433140471846,25.0533505753635,21.922348643199257
002,002,23,23,22.334806040491113,27.052468747179933,23.849170627848775,28.35318474612658,25.44878943576067,22.311339600516035
002,002,24,24,23.429270917774655,28.036722257775274,24.95332061336581,29.601999442073495,26.481522072941157,23.364392163812653
002,002,25,25,23.01750896443875,27.856391374641763,24.62972483300094,29.236317127840366,26.327105998984365,22.998761987520997
003,003,1,1,15.416857321701434,18.80451892003644,16.66848701284349,19.652363456312546,17.724664330926277,15.626398731528248
003,003,2,2,16.267142392752525,19.28952615232837,17.181470438421538,20.579420576014847,18.320153372927507,16.057916751124385
003,003,3,3,16.226965608824095,19.295440783212456,17.421297017294847,20.336037425433688,18.269437301011987,16.1644183408448
003,003,4,4,16.557034740240475,19.592333035087147,17.678106197354776,20.71014984783041,18.709642852213726,16.37691539724634
003,003,5,5,17.098195995029315,20.655336425274598,18.281008688223373,21.81697632050304,19.66251735848847,17.007518125059484
003,003,6,6,17.588918924609455,20.942616039842928,18.394027630159293,21.976297542367153,19.525597484712883,17.524568913078166
003,003,7,7,17.953337295936965,21.33341083894288,18.90370221188442,22.507597709800336,20.028682345792966,17.916341762798293
003,003,8,8,17.511632732005538,21.192028115343533,18.951706066312003,22.361862113076192,19.988509881246664,17.644671532192934
003,003,9,9,18.38883595728214,22.21527228214646,19.57664717734593,23.120701936260165,20.91584994809704,18.525535031130186
003,003,10,10,18.667632864596435,22.274303745602293,19.96293011746413,23.537967904418792,21.154745225436542,18.514074621222857
003,003,11,11,19.119076713934998,23.00403790582559,20.65040531326889,24.2277119649839,21.651990177455303,19.318455605258237
003,003,12,12,19.141972248100384,23.009174388675472,20.451949345372793,24.275634137784465,21.510026435667072,19.024232875931048
003,003,13,13,19.788513965521094,23.796123469981566,21.10094941264552,25.059617882909986,22.330045406337447,19.885171795571324
003,003,14,14,19.342133644776528,23.38337209569751,20.649840211551407,24.67534157314683,22.07127879532722,19.405016560133745
003,003,15,15,20.52393926630013,24.39802744403297,21.989301900987744,26.027540665320245,23.19360119727814,20.604166516996685
003,003,16,16,20.727921683156,24.600067125179216,22.176765513258275,26.132633809454816,23.234385474272802,20.63476616850411
003,003,17,17,20.950982309059157,25.199942999344344,22.349951926750283,26.800292931132947,24.038054360732453,21.011500566147067
003,003,18,18,20.780748542595436,25.389437124160057,22.330040323802464,26.52631889248782,23.919057233860787,21.04164921800735
003,003,19,19,21.89137847798307,26.1222501580621,23.101544711541447,27.573349695845675,24.66129472090594,21.80632780541913
003,003,20,20,22.070087335673556,26.476071846081588,23.513174625306224,27.895183355330207,24.842777986786633,21.808098988728613
003,003,21,21,21.747042246376353,26.059201244417274,23.064899267994814,27.695346641544948,24.678417507889282,21.768584523776177
003,003,22,22,22.32341283496412,26.898617021567283,23.75316652573094,28.16534180196173,25.329386905514443,22.476682577355174
003,003,23,23,22.68664446106395,27.356263195483496,24.12041635591375,28.71576019380224,25.8431155563051,22.709317852797525
003,003,24,24,23.336782345074703,27.7800232488854,24.894228819878883,29.54281217461341,26.54062172396947,23.444454650453704
003,003,25,25,23.78615353953618,28.467536753431027,25.33250592134568,30.100325440799104,26.81731718782719,23.761190495631567
004,004,1,1,15.62047463847664,18.66511370116497,16.741819670201817,19.853424085938663,17.639078309554126,15.70960994790896
004,004,2,2,16.497176419616764,19.65077255831785,17.251705886335234,20.64405432141246,18.594009593967154,16.430779983940315
004,004,3,3,16.62268137606639,20.03167602814774,17.905861767453487,21.156602867433605,18.946021909746264,16.79127866916627
004,004,4,4,16.955713761042396,20.26877304240553,18.10474758021258,21.626566632088366,19.224710373749343,16.855368858928866
004,004,5,5,17.118116941698037,20.611209093045687,18.194539071662895,21.651992917233528,19.156986923366045,17.141940313420974
004,004,6,6,17.211102550401773,20.630173746908717,18.106304071604814,21.523577110595625,19.443886768074407,17.174779071990482
004,004,7,7,18.11095215438395,21.494434544204708,19.091153909956788,22.74035701264851,20.316355329879723,17.920640865401058
004,004,8,8,18.26024303452495,21.76106749328796,19.561883618988197,22.923223268368353,20.571334114521115,18.321310647324054
004,004,9,9,18.604705060749136,22.167040966098448,19.807081681203243,23.53434175225147,21.06136329929649,18.50600108380291
004,004,10,10,18.82066723011633,22.77327573856165,20.285811709592323,23.94297629770772,21.390656511764426,18.93125862132139
004,004,11,11,19.16297174067213,22.91095337122202,20.326586436423806,24.302112547155744,21.71328267086212,19.11805854469091
004,004,12,12,18.88768898788791,22.81115357200859,20.139551805683364,24.085754547988593,21.54826179865081,19.069719696758835
004,004,13,13,20.031786123805393,23.875291988186266,21.21498464486829,25.233441259918717,22.36842697920966,19.84192519828532
004,004,14,14,19.413886212345577,23.311378724876203,20.94416100528411,24.800650559279745,22.157850442792103,19.622919326737247
004,004,15,15,20.360897439047694,24.32804455929927,21.68842922659019,25.872510772676634,22.982185813844815,20.32522143059426
004,004,16,16,20.411569058660845,24.273816912139456,21.561862233975265,25.704282558734825,22.84307321206905,20.249455956851406
004,004,17,17,20.810723721797274,24.914622857665954,22.09877294085162,26.217480164112175,23.27380660072689,20.650900057164353
004,004,18,18,21.07970662658522,25.473043693739083,22.704651905358997,26.87585508280836,23.928604945331966,21.18335659775179
004,004,19,19,21.744665731712793,25.93513681644119,23.014057873025884,27.50499829118679,24.287808312138424,21.601094397769913
004,004,20,20,21.8072552490579,26.0965379044896,23.299153274010653,27.44972334986281,24.68929482842288,21.794194447045278
004,004,21,21,21.570304070911746,25.88639489977606,23.10058060897398,27.32062054284077,24.47392526348778,21.51524650673804
004,004,22,22,22.058739956903626,26.484583056021492,23.62825974529568,28.096482303374547,24.95166328229091,22.117972813878065
004,004,23,23,22.58476148395582,27.307716633489473,24.120952423296128,28.80028747789388,25.95800376003143,22.761164334733355
004,004,24,24,22.66727679291215,27.206967234274178,23.999720637456075,28.858967412089434,25.738618387257254,22.572261659352353
004,004,25,25,23.297306222709736,27.922903457414893,24.894737047769443,29.586152015261295,26.5170395180119,23.391971133819776
005,005,1,1,15.903289924308117,19.127305217845496,16.902394242432916,20.182786172773948,17.925574541874834,15.880313068385234
005,005,2,2,15.88049935285803,19.09812079358071,17.04371041300097,20.22787011516547,18.139382272392684,15.891615351572831
005,005,3,3,16.600524668585123,20.085130107069993,17.476349926913024,20.81186962222368,18.690856556289145,16.516232871001748
005,005,4,4,17.118436067661985,20.456539128312162,17.954141410385066,21.37892552594451,19.369468810355873,17.02394544724834
