Car,car_number,lap,Lap,IM1a,IM1,IM2a,IM2,IM3a,FL
001,001,1,1,17.101887118432334,20.49182076913197,18.343446851318674,21.45950427208272,19.427472994784775,17.31681309671033
001,001,2,2,17.780529490840813,21.559482569510852,19.15224554901824,22.4682507300735,20.12055135473883,17.81350062476382
001,001,3,3,17.850027865739214,21.15685400989274,18.948403198609203,22.2981645208924,20.040539591505304,17.706609315974934
001,001,4,4,18.574552976933735,22.348412358633762,19.737284848804688,23.564939541185954,21.09514291596769,18.56674918332551
001,001,5,5,18.334971910683542,22.07801477616131,19.71772729033832,23.41854557954935,20.91943227314889,18.249611094623873
001,001,6,6,19.20820697231667,23.041423106377156,20.51962872679432,24.54170510997809,21.582086672886664,19.221396153789616
001,001,7,7,19.182079929031953,23.20897902496741,20.414308602198343,24.560356037071102,21.684172302904738,19.33627122444762
001,001,8,8,19.5563522592623,23.594320390704784,20.843525302359406,24.83555594432143,22.12428963559353,19.700472683567824
001,001,9,9,19.945467228819936,23.983020892731766,21.459804786887624,25.413712749421617,22.913151767179784,20.068807720476435
001,001,10,10,20.430942106031498,24.35692679186258,21.707217799462477,26.044788881343635,23.307240788690503,20.470271006533444
001,001,11,11,20.500717984504956,24.589124086363164,21.976508752171313,26.020313827485303,23.098326064232488,20.636615529778904
001,001,12,12,20.65264185536318,24.763452621243395,21.921885696553577,26.202316442954427,23.3999439624674,20.567208534167875
001,001,13,13,21.54765032583097,25.98125124586564,23.162224959467235,27.289702148167652,24.38710841903946,21.50358648118329
001,001,14,14,21.644055724947567,25.939733217643177,22.881309170010105,27.220624271325313,24.383962919430715,21.538282223715274
001,001,15,15,22.33955541831998,27.143960877826824,23.988794356597076,28.462207212910084,25.3936646947585,22.622792014595106
001,001,16,16,22.758602817680504,27.308575381317965,24.17825656862575,28.703616016103517,25.61661310544914,22.739731838240523
001,001,17,17,23.19330389257575,27.825846982360037,24.605011924883186,29.314710704102904,26.167793809809687,23.196698766731785
001,001,18,18,23.22831386748424,27.913912426906087,24.73685758905351,29.63108910094961,26.28918733261545,23.116627786853602
001,001,19,19,23.082197109800116,27.89283209735423,24.592596372198496,29.496844000019685,26.150212635497944,23.050746462572448
001,001,20,20,23.76696642523776,28.64054501845974,25.34496162202799,29.908151612853104,26.626316901575418,23.821726953046344
001,001,21,21,23.716290921486973,28.297548647787668,25.33610691862493,30.004210716088554,26.861392636660973,23.522699012609852
001,001,22,22,24.210247579929632,29.27453578912214,26.023974925671205,30.9424678212621,27.472149359879204,24.14115989243693
001,001,23,23,24.339492279332084,29.137577608757795,26.01768168595298,30.83774719157199,27.703851330340353,24.310700170369312
001,001,24,24,25.346928989907386,30.601346110766116,27.162753840999713,32.326042232437615,28.79181740572609,25.585607628445434
001,001,25,25,25.612751444086282,30.975572100276448,27.51549513845362,32.74077743834517,29.21200967497168,25.64148068276301
002,002,1,1,16.951089350132552,20.331579361855574,18.15037402820231,21.397337750583485,19.227847571661343,16.90230669267976
002,002,2,2,17.267298560612804,20.79434531581442,18.336744428137322,21.911180209809835,19.63080094039781,17.44486960409428
002,002,3,3,17.690309632649566,21.225981555022894,18.887265417263706,22.15432435534657,19.9112782608486,17.480927663701085
002,002,4,4,18.01338889426882,21.461421813697193,19.216948879887912,22.67651652205231,20.40882228164746,17.986578976232533
002,002,5,5,19.086140409482084,22.635860353089587,20.01502148544857,23.73870908195491,21.327920287572542,18.90671315013112
002,002,6,6,18.9210772788353,22.490543999798927,20.021544487024272,23.864868913611428,21.35964225437696,18.78304164623737
002,002,7,7,19.009486403734,22.86320978267575,20.114300584381358,23.922143768930457,21.443984108109305,19.018269499359747
002,002,8,8,19.496383982483696,23.368883973678404,20.753522220731277,24.826995245487495,22.13929581096448,19.497945861662895
002,002,9,9,19.834585805772267,23.68664433692288,21.052258246339417,25.138673130638743,22.434331737300468,19.801564824388436
002,002,10,10,20.539238478979588,24.792976500794758,22.06706725278661,26.19497101525066,23.295395466208628,20.58287344989875
002,002,11,11,21.183894647589785,25.352882177508096,22.38155654202015,26.6274929803757,23.7357398370681,21.035886534317846
002,002,12,12,20.660680234650417,24.743924099135928,22.380582369420654,26.299243968008824,23.531608598484016,20.855296563506535
002,002,13,13,20.99409656103575,25.516751501802993,22.503748147390123,26.85475457200038,23.9468950254423,20.891886535634253
002,002,14,14,21.561477683291177,26.134726894159453,23.16392881543255,27.605556050306532,24.670442332653487,21.65296559907996
002,002,15,15,22.301835399019563,26.650131120929004,23.687132475442567,28.207571674127895,25.386465582799353,22.343741006859446
002,002,16,16,22.174424186370377,26.36717561797028,23.510300883305817,27.938502864115712,24.88216668444908,21.872868426411447
002,002,17,17,22.95153776268738,27.57110942562768,24.563805357757627,29.068029880512874,26.01915425966862,23.05973635702864
002,002,18,18,23.47315539481531,27.935427651619815,25.006409806458883,29.780501821056387,26.657924809439823,23.547902596695977
002,002,19,19,23.38858386137066,27.670765992653106,24.70205046789512,29.256123935731566,26.343400599647495,23.143670451965296
002,002,20,20,23.60087205476336,28.410059451932906,25.07696806478938,30.1800148938269,26.794062651084896,23.742420131336274
002,002,21,21,24.525286902923657,29.218484727843112,26.08871947371756,30.93897579548407,27.490558308621264,24.502301688556322
002,002,22,22,24.17668768364774,28.927900724675208,25.761677567415948,30.49364585950638,27.42706595748156,24.12775935869666
002,002,23,23,24.660412720265843,29.751868418167316,26.408331461887443,31.233124470673566,28.00825540781167,24.78747202581447
